playerName,team_name,318.0,label,date
José Marsà,Mechelen,0.00000024,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00000041,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00009401,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.000152,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000086,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00029958,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00000538,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00006328,Club Brugge vs Mechelen,2024-07-26
M. Konaté,Mechelen,0.00003583,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00001946,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00003774,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00002166,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00011467,Club Brugge vs Mechelen,2024-07-26
D. Foulon,Mechelen,0.00006248,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00001273,Club Brugge vs Mechelen,2024-07-26
S. Mignolet,Club Brugge,0.00000277,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00000287,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00003024,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00006958,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00006502,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00011583,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00077452,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00000031,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00253652,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00004055,Club Brugge vs Mechelen,2024-07-26
G. Hairemans,Mechelen,0.00013403,Club Brugge vs Mechelen,2024-07-26
L. Lauberbach,Mechelen,0.00014177,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00000596,Club Brugge vs Mechelen,2024-07-26
D. Foulon,Mechelen,0.00061369,Club Brugge vs Mechelen,2024-07-26
K. Mrabti,Mechelen,0.00214833,Club Brugge vs Mechelen,2024-07-26
G. Hairemans,Mechelen,0.01294173,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00000231,Club Brugge vs Mechelen,2024-07-26
M. Konaté,Mechelen,0.00498346,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00395206,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00000302,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00001285,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00016299,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00031323,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.0000955,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00005053,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00007152,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00016848,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00004041,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00004141,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00025504,Club Brugge vs Mechelen,2024-07-26
D. Foulon,Mechelen,0.00000035,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00018816,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00007033,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00035042,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00071807,Club Brugge vs Mechelen,2024-07-26
L. Lauberbach,Mechelen,0.0007016,Club Brugge vs Mechelen,2024-07-26
K. Mrabti,Mechelen,0.00199887,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00019564,Club Brugge vs Mechelen,2024-07-26
M. Konaté,Mechelen,0.00119988,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00008704,Club Brugge vs Mechelen,2024-07-26
