player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
B. Poczobut,170ghtoh02oc4h75w15th034l,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,NaN,POL,Ekstraklasa,2023_2024
Ł. Sołowiej,r7fkmhq9vs1c6uuejbz3e95h,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,NaN,POL,Ekstraklasa,2023_2024
J. Stec,1677etd8653xle849f4obixp0,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,NaN,POL,Ekstraklasa,2023_2024
H. Tomalski,2vlhswitk2dcy5k4atjucj8b9,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,4,2,Substitute,NaN,Midfielder,11,2,5,1,4,3,NaN,7,17,6,55,7,2,4,13,3,5,NaN,1,NaN,1,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,12,POL,Ekstraklasa,2023_2024
K. Wróblewski,3ghv9u93s9hp2ox5nholpf8k4,Puszcza Niepołomice,e0eoa8fnsnjno5xh29ooux4kc,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Warta Poznań vs Puszcza Niepołomice,dar5b2dpfd8ey04eolo649d04,2023-11-10,NaN,POL,Ekstraklasa,2023_2024
S. Madejski,3mlh7umb274td3jt9qit53kr9,Cracovia,cbq36zdxvn152966h49hb4ijm,NaN,NaN,Goalkeeper,Centre,NaN,8,NaN,NaN,NaN,11,2,NaN,1,11,12,90,12,4,6,7,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,NaN,Cracovia vs Śląsk Wrocław,d8sh48d3s6xpbkdhcvugcveac,2023-11-10,7,POL,Ekstraklasa,2023_2024
A. Skovgaard,6ujj9k0wydov5zwi1b8izi489,Cracovia,cbq36zdxvn152966h49hb4ijm,2,1,Defender,Left,NaN,18,NaN,2,4,8,1,NaN,13,23,9,45,3,1,2,19,6,10,2,NaN,2,1,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,,,4231,NaN,Cracovia vs Śląsk Wrocław,d8sh48d3s6xpbkdhcvugcveac,2023-11-10,9,POL,Ekstraklasa,2023_2024
V. Ghiță,cu795zfyv700xs983ulz09cr9,Cracovia,cbq36zdxvn152966h49hb4ijm,5,2,Defender,Left/Centre,NaN,77,1,4,6,35,6,1,43,87,37,90,46,21,12,51,18,25,1,1,1,6,5,NaN,5,1,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,NaN,Cracovia vs Śląsk Wrocław,d8sh48d3s6xpbkdhcvugcveac,2023-11-10,12,POL,Ekstraklasa,2023_2024
A. Hoskonen,8l6f9m34kbksxk2q5gd6w4355,Cracovia,cbq36zdxvn152966h49hb4ijm,3,1,Defender,Centre/Right,NaN,69,NaN,9,NaN,34,4,NaN,37,74,35,90,28,6,9,41,8,10,NaN,1,NaN,4,NaN,NaN,NaN,2,2,2,NaN,1,NaN,NaN,NaN,NaN,NaN,,,4231,NaN,Cracovia vs Śląsk Wrocław,d8sh48d3s6xpbkdhcvugcveac,2023-11-10,5,POL,Ekstraklasa,2023_2024
O. Kakabadze,yhtjd2btt16hmd74mimlz2l1,Cracovia,cbq36zdxvn152966h49hb4ijm,5,1,Defender,Right,NaN,29,2,3,4,11,2,NaN,20,34,13,73,13,6,7,28,7,10,NaN,NaN,NaN,4,1,4,1,1,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,,4231,NaN,Cracovia vs Śląsk Wrocław,d8sh48d3s6xpbkdhcvugcveac,2023-11-10,13,POL,Ekstraklasa,2023_2024
